HST,UT,IQ,CC,WV,Notes
25-07-01,25-07-02,ANY,ANY,,closed initially
25-07-02,25-07-03,na,na,,
25-07-03,25-07-04,70,50,,
25-07-04,25-07-05,70,80,,
25-07-05,25-07-06,20,80,ANY,
25-07-06,25-07-07,ANY,50,80,closed initially
25-07-07,25-07-08,85,50,,
25-07-08,25-07-09,85,50,,closed initially
25-07-09,25-07-10,ANY,80,50,
25-07-10,25-07-11,20,80,,
25-07-11,25-07-12,70,70,80,
25-07-12,25-07-13,20,80,,
25-07-13,25-07-14,85,80,,
25-07-14,25-07-15,85,80,,closed initially
25-07-15,25-07-16,70,80,,
25-07-16,25-07-17,85,70,50,
25-07-17,25-07-18,70,70,,closed initially
25-07-18,25-07-19,85,70,,
25-07-19,25-07-20,70,80,,
25-07-20,25-07-21,85,80,,closed initially
25-07-21,25-07-22,20,50,,
25-07-22,25-07-23,70,50,,
25-07-23,25-07-24,70,70,,
25-07-24,25-07-25,85,70,,
25-07-25,25-07-26,70,50,,
25-07-26,25-07-27,na,na,,
25-07-27,25-07-28,70,70,,
25-07-28,25-07-29,70,50,,
25-07-29,25-07-30,70,80,,
25-07-30,25-07-31,70,70,,
25-07-31,25-08-01,85,70,ANY,
25-08-01,25-08-02,70,50,,
25-08-02,25-08-03,70,70,,
25-08-03,25-08-04,85,80,,
25-08-04,25-08-05,70,70,,
25-08-05,25-08-06,70,50,,
25-08-06,25-08-07,70,50,,
25-08-07,25-08-08,85,70,,
25-08-08,25-08-09,na,na,,
25-08-09,25-08-10,85,80,,closed initially
25-08-10,25-08-11,20,70,,
25-08-11,25-08-12,ANY,50,,
25-08-12,25-08-13,85,50,ANY,
25-08-13,25-08-14,85,70,,
25-08-14,25-08-15,na,na,,
25-08-15,25-08-16,70,70,,closed initially
25-08-16,25-08-17,20,70,,
25-08-17,25-08-18,70,50,,
25-08-18,25-08-19,na,na,,
25-08-19,25-08-20,ANY,ANY,,closed initially
25-08-20,25-08-21,85,70,ANY,
25-08-21,25-08-22,70,70,80,
25-08-22,25-08-23,na,na,,
25-08-23,25-08-24,na,na,,
25-08-24,25-08-25,na,na,,
25-08-25,25-08-26,na,na,,
25-08-26,25-08-27,na,na,,
25-08-27,25-08-28,na,na,,
25-08-28,25-08-29,na,na,,
25-08-29,25-08-30,70,70,,
25-08-30,25-08-31,20,50,,
25-08-31,25-09-01,70,50,,
25-09-01,25-09-02,70,50,,
25-09-02,25-09-03,70,50,,
25-09-03,25-09-04,70,50,,
25-09-04,25-09-05,70,50,,
25-09-05,25-09-06,70,50,,
25-09-06,25-09-07,70,50,,
25-09-07,25-09-08,70,50,,
25-09-08,25-09-09,70,50,,
